Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,1.77965E+11,1.64159E+11,1.64791E+11,1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.29417E+11,3.55675E+11
Dominican Republic,22137599986,24305116729,25599311449,27362875603,21642882856,22692574473,36119047252,38116351526,43965459070,48122601589,48261079523,53860187453,58029773801,60681535893,62682158701,67179956264,71164826721,75704647977,79998045976,85555390387
Algeria,48639108361,54786074940,54743249369,56758113501,67866141224,85324767230,1.03198E+11,1.17031E+11,1.34979E+11,1.70998E+11,1.37215E+11,1.61205E+11,2.00015E+11,2.09063E+11,2.09755E+11,2.13809E+11,1.65978E+11,1.60033E+11,1.6739E+11,1.73758E+11
East Asia & Pacific (excluding high income),1.57645E+12,1.73518E+12,1.84615E+12,2.04328E+12,2.31274E+12,2.68212E+12,3.10708E+12,3.74232E+12,4.73092E+12,5.98764E+12,6.49073E+12,7.86899E+12,9.61477E+12,1.07213E+13,1.18277E+13,1.2714E+13,1.32281E+13,1.34624E+13,1.4651E+13,1.62845E+13
Early-demographic dividend,3.03848E+12,3.29546E+12,3.26321E+12,3.16881E+12,3.5249E+12,4.09479E+12,4.77363E+12,5.47117E+12,6.4876E+12,7.3083E+12,7.03785E+12,8.55482E+12,9.59345E+12,1.00585E+13,1.02425E+13,1.05967E+13,1.02817E+13,1.05176E+13,1.13762E+13,1.16389E+13
East Asia & Pacific,7.65547E+12,8.28059E+12,7.70146E+12,7.82365E+12,8.60133E+12,9.64609E+12,1.02925E+13,1.09156E+13,1.22085E+13,1.40997E+13,1.45248E+13,1.69332E+13,1.96309E+13,2.10099E+13,2.12452E+13,2.18813E+13,2.17616E+13,2.24629E+13,2.39325E+13,2.59424E+13
Europe & Central Asia (excluding high income),6.26844E+11,6.97944E+11,6.93216E+11,7.93295E+11,9.99962E+11,1.32494E+12,1.68078E+12,2.06364E+12,2.67281E+12,3.31074E+12,2.60332E+12,3.10776E+12,3.8432E+12,4.07052E+12,4.32734E+12,4.03728E+12,3.08965E+12,2.96106E+12,3.32377E+12,3.4107E+12
Europe & Central Asia,1.06555E+13,1.00286E+13,1.01387E+13,1.10836E+13,1.34936E+13,1.57298E+13,1.6749E+13,1.81382E+13,2.11925E+13,2.32651E+13,2.04641E+13,2.09606E+13,2.32457E+13,2.24062E+13,2.34168E+13,2.37334E+13,2.04461E+13,2.0384E+13,2.15518E+13,2.30684E+13
Ecuador,19645272636,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.08398E+11
"Egypt, Arab Rep.",90710704807,99838543960,97632008710,87850683979,82924503943,78845185293,89685725230,1.07484E+11,1.30479E+11,1.62818E+11,1.88982E+11,2.18888E+11,2.36002E+11,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32928E+11,2.35369E+11,2.50895E+11
Euro area,7.11397E+12,6.47974E+12,6.59069E+12,7.16637E+12,8.84289E+12,1.01414E+13,1.05191E+13,1.11743E+13,1.28623E+13,1.4099E+13,1.28856E+13,1.26282E+13,1.36224E+13,1.26389E+13,1.31895E+13,1.34901E+13,1.16723E+13,1.19652E+13,1.26223E+13,1.36466E+13
Eritrea,688921325.7,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,2117039512,2607739837,,,,,,,
Spain,6.34693E+11,5.96878E+11,6.27287E+11,7.05394E+11,9.05492E+11,1.06709E+12,1.15329E+12,1.25934E+12,1.47213E+12,1.62522E+12,1.48558E+12,1.42072E+12,1.47877E+12,1.32482E+12,1.35476E+12,1.3694E+12,1.19512E+12,1.23208E+12,1.30931E+12,1.41904E+12
Estonia,5762048126,5694069842,6259258258,7372457191,9877636518,12144397516,14098326328,17012321791,22445582946,24371299985,19744110447,19685033799,23394843529,23192709239,25271407239,26773472962,23048864243,23996451498,26792757827,30732144529
Ethiopia,7700833482,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81760441159,84355604753
European Union,9.60317E+12,8.91588E+12,9.02619E+12,9.83217E+12,1.19622E+13,1.38131E+13,1.44409E+13,1.54136E+13,1.7808E+13,1.91571E+13,1.71183E+13,1.70154E+13,1.83996E+13,1.73394E+13,1.80774E+13,1.8695E+13,1.64738E+13,1.65763E+13,1.73674E+13,1.87681E+13
Fragile and conflict affected situations,,2.19764E+11,2.01683E+11,1.93863E+11,2.20187E+11,2.56072E+11,3.10999E+11,3.67992E+11,4.52555E+11,5.85169E+11,5.45976E+11,6.50133E+11,7.08206E+11,8.20361E+11,8.57109E+11,8.60816E+11,7.74984E+11,7.58695E+11,8.43759E+11,8.41433E+11
